27149,"International Business Administration, B.A.",https://www.bachelorsportal.com/studies/27149/international-business-administration.html,"https://www.bachelorsportal.com/search/#q=di-45,241|lv-preparation",Germany,Frankfurt am Main,University of Applied Sciences Frankfurt am Main,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
70578,"Product Development & Integrative Technology (top-up), Bachelor",https://www.bachelorsportal.com/studies/70578/product-development-integrative-technology.html,"https://www.bachelorsportal.com/search/#q=di-63,248|lv-preparation",Denmark,Aalborg,University College of Northern Denmark,0,/ year,"1 year, 6 months",On campus,23,Business & Management
48561,"(Hons) Business Studies and Marketing, B.A.",https://www.bachelorsportal.com/studies/48561/business-studies-and-marketing.html,"https://www.bachelorsportal.com/search/#q=di-88,89|lv-preparation",United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,23,Business & Management
15939,"Bachelor of Business Administration - International Business, B.B.A.",https://www.bachelorsportal.com/studies/15939/bachelor-of-business-administration-international-business.html,"https://www.bachelorsportal.com/search/#q=di-45,241|lv-preparation",Finland,Tampere,Tampere University of Applied Sciences,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
43370,"AP Degree in Marketing Management, Academy Profession",https://www.bachelorsportal.com/studies/43370/ap-degree-in-marketing-management.html,"https://www.bachelorsportal.com/search/#q=di-88,89|lv-preparation",Denmark,Viborg,"Dania Academy, University of Applied Sciences",0,/ year,2 Years,On campus,23,Business & Management
30738,"Bachelor of Business Administration - International Business, B.B.A.",https://www.bachelorsportal.com/studies/30738/bachelor-of-business-administration-international-business.html,https://www.bachelorsportal.com/search/#q=di-241|lv-preparation,Finland,Lappeenranta,Saimaa University of Applied Sciences,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
31393,"International Sales and Marketing Management, B.B.A.",https://www.bachelorsportal.com/studies/31393/international-sales-and-marketing-management.html,"https://www.bachelorsportal.com/search/#q=di-88,89,241|lv-preparation",Denmark,Copenhagen,Copenhagen Business Academy (Cphbusiness),0,/ year,"1 year, 6 months",On campus,23,Business & Management
188038,"Management, B.Sc.",https://www.bachelorsportal.com/studies/188038/management.html,"https://www.bachelorsportal.com/search/#q=di-25,245,246|lv-preparation",Poland,Wroclaw,Wroclaw University of Technology,0,/ year,3 Years,On campus,23,Business & Management
154394,"Retail Management, B.Sc.",https://www.bachelorsportal.com/studies/154394/retail-management.html,https://www.bachelorsportal.com/search/#q=di-244|lv-preparation,Sweden,Stockholm,Stockholm School of Economics,0,/ year,3 Years,On campus,23,Business & Management
44656,"International Business Degree: Bachelor of Business Administration, B.B.A.",https://www.bachelorsportal.com/studies/44656/international-business-degree-bachelor-of-business-administration.html,"https://www.bachelorsportal.com/search/#q=di-45|lv-preparation|mh-blended,online",Finland,Turku,Turku University of Applied Sciences (TUAS),0,/ year,"3 Years, 6 months",On campus,23,Business & Management
96191,"Studies in Business Informatics, Bachelor",https://www.bachelorsportal.com/studies/96191/studies-in-business-informatics.html,"https://www.bachelorsportal.com/search/#q=di-234,279|lv-preparation",Poland,Wroclaw,Wroclaw University of Economics,0,/ year,3 Years,On campus,23,Business & Management
21186,"Analytical Finance, B.Sc.",https://www.bachelorsportal.com/studies/21186/analytical-finance.html,https://www.bachelorsportal.com/search/#q=di-87|lv-preparation,Sweden,Västerås,Malardalens University,0,/ year,3 Years,On campus,23,Business & Management
48886,"Management with Accounting (Hons), B.A.",https://www.bachelorsportal.com/studies/48886/management-with-accounting.html,"https://www.bachelorsportal.com/search/#q=di-89,93|lv-preparation",United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,23,Business & Management
72722,"Logistic Management, Academy Profession",https://www.bachelorsportal.com/studies/72722/logistic-management.html,"https://www.bachelorsportal.com/search/#q=di-89,133|lv-preparation",Denmark,Vejle,Lillebaelt Academy University of Applied Sciences,0,/ year,2 Years,On campus,23,Business & Management
48888,"Marketing (Hons), B.A.",https://www.bachelorsportal.com/studies/48888/marketing.html,https://www.bachelorsportal.com/search/#q=di-88|lv-preparation,United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,23,Business & Management
16284,"Business and Management (BMA), Bachelor",https://www.bachelorsportal.com/studies/16284/business-and-management.html,"https://www.bachelorsportal.com/search/#q=di-45,89|lv-preparation",Ireland,Maynooth,Maynooth University,0,/ year,3 Years,On campus,23,Business & Management
